id,GEOID10,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,RB_CUSTMR
122,42101012204,1.8,2.69,2.21,1.51,1.81,1.31,1.79,1.21,2.01,1.8,1.4,1.71,107
205,42101021400,1.5,1.4,1.5,1.5,1.3,1.2,1.9,1,1.5,1.4,1,1.2,261
92,42101009200,1.98,1.95,3.32,2.85,3.02,2.44,2.22,2.28,3.6,1.94,1.94,1.93,189
31,42101002500,2.5,1.9,2.5,1.5,2.2,1.4,1.2,1.2,3.1,2.1,1,1.6,237
325,42101034702,1,1,1.4,1.5,1.3,1.3,1.7,1.2,1.3,1.4,1,1.13,282
340,42101035900,1.3,1,1.2,1.1,1.1,1.1,1.5,1.1,1,1.1,1,1.1,283
175,42101017800,2.85,2.9,3.02,2.9,2.82,2.52,2.82,3.3,3.4,1.95,1.75,1.61,337
87,42101008702,2.04,2.47,2.37,1.78,2.22,2.2,2.4,1.22,2.74,1.7,1.55,1.98,90
192,42101020102,2.1,2.6,2.3,2.4,2.1,2.5,2.5,2,2.4,2.1,1.8,2.03,260
17,42101001201,1.64,1.74,2.35,1.92,2.15,1.54,1.91,1.55,1.66,1.78,1.73,1.57,252
39,42101003100,2.57,2.67,3.17,2.72,3.18,2.12,2.57,2.4,2.64,1.87,1.47,2.34,533
346,42101036301,1.2,1,1.4,1.3,1.3,1.1,1.2,1.1,1.4,1.1,1,1.13,350
107,42101010800,2.1,1.9,3.1,2.4,2.8,2.5,1.6,2.4,3.6,2,2,1.93,418
310,42101033400,1.48,1.73,1.58,1.64,1.31,1.21,1.16,1.03,1.2,1.35,1.08,1.13,216
76,42101008000,2.15,2.78,2.5,1.8,2.24,2.49,2.84,1.3,2.69,2.11,2.05,1.99,362
330,42101035100,1.1,1.1,1.6,1.7,1.4,1.3,1.7,1.2,1.6,1.2,1,1.2,159
275,42101029800,2.57,2.49,2.57,2.09,2.38,2.48,1.59,1.58,3.63,1.59,1.88,1.32,319
45,42101003800,2.43,2.4,3.16,2.25,2.84,1.83,1.67,1.97,2.04,2.21,1.32,1.48,307
33,42101002702,2.54,2.04,2.5,1.98,2.24,1.64,1.34,1.44,3.1,2.14,1.14,1.6,308
339,42101035800,1.3,1,1.22,1.13,1.12,1.1,1.5,1.1,1,1.14,1,1.1,392
319,42101034200,1.5,1,1.3,1.1,1.2,1.1,1.5,1.2,1,1.3,1,1.3,253
104,42101010500,1.9,2,3.49,3.19,3.19,2.39,2.69,2.19,3.59,1.89,1.89,1.92,167
168,42101017300,2.11,2.57,2.27,2.4,2.04,2.52,2.45,2.07,2.46,2.03,1.75,2.03,211
183,42101019100,2.5,2.47,2.31,2.49,2.11,2.14,2.43,2.9,3.26,1.99,1.72,1.59,578
110,42101011100,2.21,2.55,2.78,1.83,2.56,2.35,2.3,1.62,3.3,1.68,1.48,1.74,249
298,42101031900,2.6,2.5,2.6,2.1,2.4,2.5,1.6,1.6,3.7,1.6,1.9,1.33,290
109,42101011000,2.1,1.9,3.1,2.4,2.8,2.5,1.6,2.4,3.6,2,2,1.93,204
361,42101037900,2.42,3.2,2.34,2.62,2.14,2.18,2.48,2.81,3,1.7,1.96,1.54,542
48,42101004001,1.61,2.28,1.63,1.78,1.5,1.48,1.24,1.8,2.6,2.24,1.12,1.5,460
36,42101002900,1.91,2.45,2.04,1.66,1.87,1.82,1.34,1.51,2.45,2.11,1.04,1.5,506
123,42101012500,1.8,1.6,1.89,1.45,1.69,1.25,1.6,1.25,1.5,1.9,1.95,1.81,42
167,42101017202,2.3,2.3,1.9,2.4,1.4,2.9,1.9,3.1,3.3,1.2,1.2,2.03,317
253,42101027500,1.6,2,2.4,1.9,2.2,2.2,1.9,1.2,2.7,1.6,1,2.27,287
131,42101013602,2.62,2.17,1.7,1.4,1.43,1.28,1.67,1.45,1.75,1.54,1.47,2.17,378
304,42101032900,1.41,1.68,1.7,1.8,1.55,1.56,1.59,1.09,1.54,1.25,1.21,1.13,295
95,42101009500,2.27,2.6,2.84,1.71,2.68,2.43,2.26,1.59,3.35,1.77,1.62,1.71,399
223,42101024500,2.4,2.21,3.58,2.51,3.18,2.47,2.48,2.09,2.91,1.5,1,1.45,257
260,42101028100,2.5,2.6,3,3,2.7,1.7,2.1,2,3.4,1.8,1,1.04,216
355,42101037200,2.28,2.22,2.24,2.15,2.07,1.65,1.37,1.82,2.98,2.19,1.22,1.54,323
9,42101000803,1.3,1.4,1.69,1.42,1.56,1.2,1.62,1.27,1.27,2,2.02,2.04,54
165,42101017100,2.26,2.34,1.96,2.4,1.51,2.83,1.99,2.91,3.15,1.34,1.29,2.03,357
335,42101035601,1.4,1,1.48,1.46,1.38,1.1,1.5,1.1,1.09,1.66,1,1.11,268
35,42101002802,2.35,2.12,2.69,1.9,2.47,1.62,1.38,1.75,3.12,2.13,1.14,1.46,495
60,42101006200,1.97,2.7,2.67,2.6,2.4,2.01,2.42,1.5,2.12,1.9,1.95,1.29,246
